SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit
1/18/1989,8:00:00,7,,,0.5,S ,ISM,M1,PH,,8.2,SU
1/18/1989,8:00:00,7,,,1,M ,ISM,M1,PH,,8.2,SU
1/18/1989,8:00:00,7,,,2,AP,ISM,M1,PH,,8.2,SU
1/18/1989,8:00:00,7,,,3,M ,ISM,M1,PH,,8.2,SU
1/18/1989,8:00:00,7,,,4,BP,ISM,M1,PH,,8.2,SU
1/18/1989,8:00:00,7,,,5,M ,ISM,M1,PH,,8.2,SU
1/18/1989,8:00:00,7,,,6,B ,ISM,M1,PH,,8.1,SU
2/14/1989,7:50:00,8,,,0.5,S ,ISM,M1,PH,,7.9,SU
2/14/1989,7:50:00,8,,,1,M ,ISM,M1,PH,,8,SU
2/14/1989,7:50:00,8,,,2,M ,ISM,M1,PH,,8,SU
2/14/1989,7:50:00,8,,,3,AP,ISM,M1,PH,,8,SU
2/14/1989,7:50:00,8,,,4,M ,ISM,M1,PH,,8,SU
2/14/1989,7:50:00,8,,,5,BP,ISM,M1,PH,,8,SU
2/14/1989,7:50:00,8,,,6,M ,ISM,M1,PH,,8,SU
2/14/1989,7:50:00,8,,,7,B ,ISM,M1,PH,,7.9,SU
3/22/1989,10:05:00,7,,,0.5,S ,ISM,M1,PH,,8,SU
3/22/1989,10:05:00,7,,,1,M ,ISM,M1,PH,,8,SU
3/22/1989,10:05:00,7,,,2,AP,ISM,M1,PH,,8,SU
3/22/1989,10:05:00,7,,,3,M ,ISM,M1,PH,,8,SU
3/22/1989,10:05:00,7,,,4,BP,ISM,M1,PH,,7.9,SU
3/22/1989,10:05:00,7,,,5,M ,ISM,M1,PH,,7.9,SU
3/22/1989,10:05:00,7,,,6,B ,ISM,M1,PH,,7.8,SU
4/4/1989,9:50:00,7.2,,,0.5,S ,ISM,M1,PH,,7.7,SU
4/4/1989,9:50:00,7.2,,,1,M ,ISM,M1,PH,,7.7,SU
4/4/1989,9:50:00,7.2,,,2,AP,ISM,M1,PH,,7.7,SU
4/4/1989,9:50:00,7.2,,,3,M ,ISM,M1,PH,,7.6,SU
4/4/1989,9:50:00,7.2,,,4,BP,ISM,M1,PH,,7.6,SU
4/4/1989,9:50:00,7.2,,,5,M ,ISM,M1,PH,,7.5,SU
4/4/1989,9:50:00,7.2,,,6.2,B ,ISM,M1,PH,,7.4,SU
4/18/1989,9:50:00,7.2,,,0.5,S ,ISM,M1,PH,,8.2,SU
4/18/1989,9:50:00,7.2,,,1,M ,ISM,M1,PH,,8.2,SU
4/18/1989,9:50:00,7.2,,,2,AP,ISM,M1,PH,,8.2,SU
4/18/1989,9:50:00,7.2,,,3,M ,ISM,M1,PH,,8.2,SU
4/18/1989,9:50:00,7.2,,,4,BP,ISM,M1,PH,,8.2,SU
4/18/1989,9:50:00,7.2,,,5,M ,ISM,M1,PH,,8.2,SU
4/18/1989,9:50:00,7.2,,,6.2,B ,ISM,M1,PH,,8.2,SU
5/4/1989,11:22:00,7.2,,,0.5,S ,ISM,M1,PH,,8,SU
5/4/1989,11:22:00,7.2,,,1,M ,ISM,M1,PH,,8,SU
5/4/1989,11:22:00,7.2,,,2,AP,ISM,M1,PH,,8,SU
5/4/1989,11:22:00,7.2,,,3,M ,ISM,M1,PH,,8,SU
5/4/1989,11:22:00,7.2,,,4,BP,ISM,M1,PH,,8,SU
5/4/1989,11:22:00,7.2,,,5,M ,ISM,M1,PH,,8,SU
5/4/1989,11:22:00,7.2,,,6.2,B ,ISM,M1,PH,,8,SU
5/16/1989,10:28:00,7.4,4.5,4.5,0.5,S ,ISM,M1,PH,,8,SU
5/16/1989,10:28:00,7.4,4.5,4.5,1,M ,ISM,M1,PH,,8,SU
5/16/1989,10:28:00,7.4,4.5,4.5,2,M ,ISM,M1,PH,,8,SU
5/16/1989,10:28:00,7.4,4.5,4.5,3,AP,ISM,M1,PH,,7.9,SU
5/16/1989,10:28:00,7.4,4.5,4.5,4,M ,ISM,M1,PH,,7.8,SU
5/16/1989,10:28:00,7.4,4.5,4.5,5,M ,ISM,M1,PH,,7.7,SU
5/16/1989,10:28:00,7.4,4.5,4.5,6,BP,ISM,M1,PH,,7.6,SU
5/16/1989,10:28:00,7.4,4.5,4.5,6.4,B ,ISM,M1,PH,,7.6,SU
6/13/1989,11:50:00,7.2,,,1,M ,ISM,M1,PH,,7.3,SU
6/13/1989,11:50:00,7.2,,,2,AP,ISM,M1,PH,,7.2,SU
6/13/1989,11:50:00,7.2,,,3,M ,ISM,M1,PH,,7.2,SU
6/13/1989,11:50:00,7.2,,,4,BP,ISM,M1,PH,,7.1,SU
6/13/1989,11:50:00,7.2,,,5,M ,ISM,M1,PH,,7.1,SU
6/13/1989,11:50:00,7.2,,,6.2,B ,ISM,M1,PH,,7,SU
6/13/1989,11:50:00,7.2,,,0.5,S ,ISM,M1,PH,,7.3,SU
6/27/1989,11:00:00,8,1.5,1.5,0.5,AP,ISM,M1,PH,,8.3,SU
6/27/1989,11:00:00,8,1.5,1.5,0.5,S ,ISM,M1,PH,,8.3,SU
6/27/1989,11:00:00,8,1.5,1.5,1,M ,ISM,M1,PH,,8.3,SU
6/27/1989,11:00:00,8,1.5,1.5,2,M ,ISM,M1,PH,,8.2,SU
6/27/1989,11:00:00,8,1.5,1.5,3,BP,ISM,M1,PH,,8.2,SU
6/27/1989,11:00:00,8,1.5,1.5,4,M ,ISM,M1,PH,,8.1,SU
6/27/1989,11:00:00,8,1.5,1.5,5,M ,ISM,M1,PH,,8,SU
6/27/1989,11:00:00,8,1.5,1.5,6,M ,ISM,M1,PH,,7.8,SU
6/27/1989,11:00:00,8,1.5,1.5,7,B ,ISM,M1,PH,,7.7,SU
7/11/1989,10:40:00,7.5,,,0.5,S ,ISM,M1,PH,,8.2,SU
7/11/1989,10:40:00,7.5,,,1,M ,ISM,M1,PH,,8.2,SU
7/11/1989,10:40:00,7.5,,,2,AP,ISM,M1,PH,,8.2,SU
7/11/1989,10:40:00,7.5,,,3,M ,ISM,M1,PH,,8.2,SU
7/11/1989,10:40:00,7.5,,,4,BP,ISM,M1,PH,,8.2,SU
7/11/1989,10:40:00,7.5,,,5,M ,ISM,M1,PH,,8.1,SU
7/11/1989,10:40:00,7.5,,,6,M ,ISM,M1,PH,,8,SU
7/11/1989,10:40:00,7.5,,,6.5,B ,ISM,M1,PH,,8,SU
7/25/1989,10:48:00,7.7,,,3,M ,ISM,M1,PH,,8.1,SU
7/25/1989,10:48:00,7.7,,,4,BP,ISM,M1,PH,,8.1,SU
7/25/1989,10:48:00,7.7,,,5,M ,ISM,M1,PH,,7.8,SU
7/25/1989,10:48:00,7.7,,,6,M ,ISM,M1,PH,,7.6,SU
7/25/1989,10:48:00,7.7,,,6.7,B ,ISM,M1,PH,,7.6,SU
7/25/1989,10:48:00,7.7,,,0.5,S ,ISM,M1,PH,,8.3,SU
7/25/1989,10:48:00,7.7,,,1,M ,ISM,M1,PH,,8.2,SU
7/25/1989,10:48:00,7.7,,,2,AP,ISM,M1,PH,,8.2,SU
8/15/1989,10:55:00,7.5,,,0.5,S ,ISM,M1,PH,,8.2,SU
8/15/1989,10:55:00,7.5,,,1,M ,ISM,M1,PH,,8.3,SU
8/15/1989,10:55:00,7.5,,,2,AP,ISM,M1,PH,,8.3,SU
8/15/1989,10:55:00,7.5,,,3,M ,ISM,M1,PH,,8,SU
8/15/1989,10:55:00,7.5,,,4,BP,ISM,M1,PH,,8,SU
8/15/1989,10:55:00,7.5,,,5,M ,ISM,M1,PH,,7.7,SU
8/15/1989,10:55:00,7.5,,,6,M ,ISM,M1,PH,,7.4,SU
8/15/1989,10:55:00,7.5,,,6.5,B ,ISM,M1,PH,,7.4,SU
8/29/1989,10:08:00,7.6,,,0.5,S ,ISM,M1,PH,,8.1,SU
8/29/1989,10:08:00,7.6,,,1,M ,ISM,M1,PH,,8,SU
8/29/1989,10:08:00,7.6,,,2,AP,ISM,M1,PH,,8,SU
8/29/1989,10:08:00,7.6,,,3,M ,ISM,M1,PH,,8,SU
8/29/1989,10:08:00,7.6,,,4,BP,ISM,M1,PH,,7.9,SU
8/29/1989,10:08:00,7.6,,,5,M ,ISM,M1,PH,,7.8,SU
8/29/1989,10:08:00,7.6,,,6,M ,ISM,M1,PH,,7.8,SU
8/29/1989,10:08:00,7.6,,,6.6,B ,ISM,M1,PH,,7.7,SU
9/12/1989,9:45:00,7,5.5,5.5,0.5,S ,ISM,M1,PH,,8.3,SU
9/12/1989,9:45:00,7,5.5,5.5,1,M ,ISM,M1,PH,,8.3,SU
9/12/1989,9:45:00,7,5.5,5.5,2,M ,ISM,M1,PH,,8.3,SU
9/12/1989,9:45:00,7,5.5,5.5,3,M ,ISM,M1,PH,,8.3,SU
9/12/1989,9:45:00,7,5.5,5.5,4,AP,ISM,M1,PH,,8.2,SU
9/12/1989,9:45:00,7,5.5,5.5,5,M ,ISM,M1,PH,,8.1,SU
9/12/1989,9:45:00,7,5.5,5.5,6,B ,ISM,M1,PH,,7.8,SU
9/12/1989,9:45:00,7,5.5,5.5,6,BP,ISM,M1,PH,,7.8,SU
9/27/1989,9:56:00,7.2,,,0.5,S ,ISM,M1,PH,,7.8,SU
9/27/1989,9:56:00,7.2,,,1,M ,ISM,M1,PH,,7.8,SU
9/27/1989,9:56:00,7.2,,,2,AP,ISM,M1,PH,,7.8,SU
9/27/1989,9:56:00,7.2,,,3,M ,ISM,M1,PH,,7.8,SU
9/27/1989,9:56:00,7.2,,,4,BP,ISM,M1,PH,,7.8,SU
9/27/1989,9:56:00,7.2,,,5,M ,ISM,M1,PH,,7.8,SU
9/27/1989,9:56:00,7.2,,,6.2,B ,ISM,M1,PH,,7.8,SU
10/11/1989,11:58:00,7.7,,,0.5,S ,ISM,M1,PH,,8.2,SU
10/11/1989,11:58:00,7.7,,,1,M ,ISM,M1,PH,,8.2,SU
10/11/1989,11:58:00,7.7,,,2,AP,ISM,M1,PH,,8.2,SU
10/11/1989,11:58:00,7.7,,,3,M ,ISM,M1,PH,,8.2,SU
10/11/1989,11:58:00,7.7,,,4,BP,ISM,M1,PH,,8.2,SU
10/11/1989,11:58:00,7.7,,,5,M ,ISM,M1,PH,,8.2,SU
10/11/1989,11:58:00,7.7,,,6,M ,ISM,M1,PH,,8.1,SU
10/11/1989,11:58:00,7.7,,,6.7,B ,ISM,M1,PH,,8.1,SU
10/24/1989,10:45:00,7.4,,,0.5,S ,ISM,M1,PH,,8,SU
10/24/1989,10:45:00,7.4,,,1,M ,ISM,M1,PH,,8,SU
10/24/1989,10:45:00,7.4,,,2,M ,ISM,M1,PH,,7.9,SU
10/24/1989,10:45:00,7.4,,,3,AP,ISM,M1,PH,,7.9,SU
10/24/1989,10:45:00,7.4,,,4,M ,ISM,M1,PH,,7.9,SU
10/24/1989,10:45:00,7.4,,,5,BP,ISM,M1,PH,,7.8,SU
10/24/1989,10:45:00,7.4,,,6,M ,ISM,M1,PH,,7.8,SU
10/24/1989,10:45:00,7.4,,,6.4,B ,ISM,M1,PH,,7.6,SU
11/14/1989,9:55:00,7,,,0.5,S ,ISM,M1,PH,,8,SU
11/14/1989,9:55:00,7,,,1,M ,ISM,M1,PH,,8,SU
11/14/1989,9:55:00,7,,,2,AP,ISM,M1,PH,,8,SU
11/14/1989,9:55:00,7,,,3,M ,ISM,M1,PH,,8,SU
11/14/1989,9:55:00,7,,,4,BP,ISM,M1,PH,,8,SU
11/14/1989,9:55:00,7,,,5,M ,ISM,M1,PH,,8,SU
11/14/1989,9:55:00,7,,,6,B ,ISM,M1,PH,,8,SU
1/9/1990,8:50:00,7.5,3.5,3.5,0.5,S ,ISM,M1,PH,,8.1,SU
1/9/1990,8:50:00,7.5,3.5,3.5,1,M ,ISM,M1,PH,,8.1,SU
1/9/1990,8:50:00,7.5,3.5,3.5,2,AP,ISM,M1,PH,,8.1,SU
1/9/1990,8:50:00,7.5,3.5,3.5,3,M ,ISM,M1,PH,,8.1,SU
1/9/1990,8:50:00,7.5,3.5,3.5,4,M ,ISM,M1,PH,,8.1,SU
1/9/1990,8:50:00,7.5,3.5,3.5,5,BP,ISM,M1,PH,,8.1,SU
1/9/1990,8:50:00,7.5,3.5,3.5,6,M ,ISM,M1,PH,,8.1,SU
1/9/1990,8:50:00,7.5,3.5,3.5,6.5,B ,ISM,M1,PH,,8.1,SU
2/6/1990,10:30:00,7.9,,,0.5,S ,ISM,M1,PH,,8.2,SU
2/6/1990,10:30:00,7.9,,,1,M ,ISM,M1,PH,,8.2,SU
2/6/1990,10:30:00,7.9,,,2,AP,ISM,M1,PH,,8.1,SU
2/6/1990,10:30:00,7.9,,,3,M ,ISM,M1,PH,,8.1,SU
2/6/1990,10:30:00,7.9,,,4,BP,ISM,M1,PH,,8.1,SU
2/6/1990,10:30:00,7.9,,,5,M ,ISM,M1,PH,,8,SU
2/6/1990,10:30:00,7.9,,,6,M ,ISM,M1,PH,,7.9,SU
2/6/1990,10:30:00,7.9,,,6.9,B ,ISM,M1,PH,,7.7,SU
3/6/1990,9:50:00,7.5,,,0.5,S ,ISM,M1,PH,,7.9,SU
3/6/1990,9:50:00,7.5,,,1,M ,ISM,M1,PH,,7.9,SU
3/6/1990,9:50:00,7.5,,,2,AP,ISM,M1,PH,,7.9,SU
3/6/1990,9:50:00,7.5,,,3,M ,ISM,M1,PH,,7.9,SU
3/6/1990,9:50:00,7.5,,,4,BP,ISM,M1,PH,,7.8,SU
3/6/1990,9:50:00,7.5,,,5,M ,ISM,M1,PH,,7.8,SU
3/6/1990,9:50:00,7.5,,,6,M ,ISM,M1,PH,,7.8,SU
3/6/1990,9:50:00,7.5,,,6.5,B ,ISM,M1,PH,,7.7,SU
3/22/1990,10:07:00,7.8,5.5,6.5,0.5,S ,ISM,M1,PH,,7.8,SU
3/22/1990,10:07:00,7.8,5.5,6.5,1,M ,ISM,M1,PH,,7.8,SU
3/22/1990,10:07:00,7.8,5.5,6.5,2,M ,ISM,M1,PH,,7.8,SU
3/22/1990,10:07:00,7.8,5.5,6.5,3,M ,ISM,M1,PH,,7.8,SU
3/22/1990,10:07:00,7.8,5.5,6.5,4,AP,ISM,M1,PH,,7.7,SU
3/22/1990,10:07:00,7.8,5.5,6.5,5,M ,ISM,M1,PH,,7.7,SU
3/22/1990,10:07:00,7.8,5.5,6.5,6,M ,ISM,M1,PH,,7.6,SU
3/22/1990,10:07:00,7.8,5.5,6.5,6.8,B ,ISM,M1,PH,,7.6,SU
3/22/1990,10:07:00,7.8,5.5,6.5,6.8,BP,ISM,M1,PH,,7.6,SU
4/3/1990,13:15:00,7.6,,,0.5,S ,ISM,M1,PH,,8.1,SU
4/3/1990,13:15:00,7.6,,,1,M ,ISM,M1,PH,,8.1,SU
4/3/1990,13:15:00,7.6,,,2,AP,ISM,M1,PH,,8.1,SU
4/3/1990,13:15:00,7.6,,,3,M ,ISM,M1,PH,,8.1,SU
4/3/1990,13:15:00,7.6,,,4,BP,ISM,M1,PH,,8,SU
4/3/1990,13:15:00,7.6,,,5,M ,ISM,M1,PH,,8,SU
4/3/1990,13:15:00,7.6,,,6,M ,ISM,M1,PH,,7.9,SU
4/3/1990,13:15:00,7.6,,,6.6,B ,ISM,M1,PH,,7.8,SU
4/17/1990,10:52:00,7,,,0.5,S ,ISM,M1,PH,,8.5,SU
4/17/1990,10:52:00,7,,,1,M ,ISM,M1,PH,,8.5,SU
4/17/1990,10:52:00,7,,,2,AP,ISM,M1,PH,,8.5,SU
4/17/1990,10:52:00,7,,,3,M ,ISM,M1,PH,,8.4,SU
4/17/1990,10:52:00,7,,,4,BP,ISM,M1,PH,,8.4,SU
4/17/1990,10:52:00,7,,,5,M ,ISM,M1,PH,,8.3,SU
4/17/1990,10:52:00,7,,,6,B ,ISM,M1,PH,,8.3,SU
5/15/1990,12:05:00,7.8,,,0.5,S ,ISM,M1,PH,,7.9,SU
5/15/1990,12:05:00,7.8,,,1,M ,ISM,M1,PH,,7.9,SU
5/15/1990,12:05:00,7.8,,,2,AP,ISM,M1,PH,,7.9,SU
5/15/1990,12:05:00,7.8,,,3,M ,ISM,M1,PH,,7.9,SU
5/15/1990,12:05:00,7.8,,,4,BP,ISM,M1,PH,,7.9,SU
5/15/1990,12:05:00,7.8,,,5,M ,ISM,M1,PH,,7.9,SU
5/15/1990,12:05:00,7.8,,,6,M ,ISM,M1,PH,,7.8,SU
5/15/1990,12:05:00,7.8,,,6.8,B ,ISM,M1,PH,,7.7,SU
5/31/1990,10:25:00,7.3,5.5,6.1,0.5,S ,ISM,M1,PH,,7.8,SU
5/31/1990,10:25:00,7.3,5.5,6.1,1,M ,ISM,M1,PH,,7.7,SU
5/31/1990,10:25:00,7.3,5.5,6.1,2,M ,ISM,M1,PH,,7.7,SU
5/31/1990,10:25:00,7.3,5.5,6.1,3,M ,ISM,M1,PH,,7.7,SU
5/31/1990,10:25:00,7.3,5.5,6.1,4,AP,ISM,M1,PH,,7.7,SU
5/31/1990,10:25:00,7.3,5.5,6.1,5,M ,ISM,M1,PH,,7.6,SU
5/31/1990,10:25:00,7.3,5.5,6.1,6,M ,ISM,M1,PH,,7.5,SU
5/31/1990,10:25:00,7.3,5.5,6.1,6.3,B ,ISM,M1,PH,,7.4,SU
5/31/1990,10:25:00,7.3,5.5,6.1,6.3,BP,ISM,M1,PH,,7.4,SU
6/12/1990,9:07:00,7.5,4.5,4.5,0.5,S ,ISM,M1,PH,,7.7,SU
6/12/1990,9:07:00,7.5,4.5,4.5,1,M ,ISM,M1,PH,,7.6,SU
6/12/1990,9:07:00,7.5,4.5,4.5,2,M ,ISM,M1,PH,,7.6,SU
6/12/1990,9:07:00,7.5,4.5,4.5,3,AP,ISM,M1,PH,,7.6,SU
6/12/1990,9:07:00,7.5,4.5,4.5,4,M ,ISM,M1,PH,,7.5,SU
6/12/1990,9:07:00,7.5,4.5,4.5,5,M ,ISM,M1,PH,,7.3,SU
