SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit
5/14/2013,10:39:00,7.3,,,0.5,S ,ISM,M1,SALINITY,,10.95,PPT
5/14/2013,10:39:00,7.3,,,1,M ,ISM,M1,SALINITY,,10.95,PPT
5/14/2013,10:39:00,7.3,,,2,AP,ISM,M1,SALINITY,,11.02,PPT
5/14/2013,10:39:00,7.3,,,3,M ,ISM,M1,SALINITY,,11.15,PPT
5/14/2013,10:39:00,7.3,,,4,BP,ISM,M1,SALINITY,,11.28,PPT
5/14/2013,10:39:00,7.3,,,5,M ,ISM,M1,SALINITY,,11.54,PPT
5/14/2013,10:39:00,7.3,,,6,M ,ISM,M1,SALINITY,,11.74,PPT
5/14/2013,10:39:00,7.3,,,6.3,B ,ISM,M1,SALINITY,,11.74,PPT
6/3/2013,11:39:00,8,,,0.5,S ,ISM,M1,SALINITY,,11.47,PPT
6/3/2013,11:39:00,8,,,1,M ,ISM,M1,SALINITY,,11.47,PPT
6/3/2013,11:39:00,8,,,2,AP,ISM,M1,SALINITY,,11.47,PPT
6/3/2013,11:39:00,8,,,3,M ,ISM,M1,SALINITY,,11.47,PPT
6/3/2013,11:39:00,8,,,4,BP,ISM,M1,SALINITY,,11.47,PPT
6/3/2013,11:39:00,8,,,5,M ,ISM,M1,SALINITY,,11.47,PPT
6/3/2013,11:39:00,8,,,6,M ,ISM,M1,SALINITY,,11.47,PPT
6/3/2013,11:39:00,8,,,7,B ,ISM,M1,SALINITY,,11.47,PPT
12/7/2004,10:17:00,8.4,,,0.5,S ,ISM,M1,SALINITY,,11.74,PPT
12/7/2004,10:17:00,8.4,,,1,M ,ISM,M1,SALINITY,,11.74,PPT
12/7/2004,10:17:00,8.4,,,2,M ,ISM,M1,SALINITY,,11.74,PPT
12/7/2004,10:17:00,8.4,,,3,AP,ISM,M1,SALINITY,,11.74,PPT
12/7/2004,10:17:00,8.4,,,4,M ,ISM,M1,SALINITY,,11.74,PPT
12/7/2004,10:17:00,8.4,,,5,BP,ISM,M1,SALINITY,,11.74,PPT
12/7/2004,10:17:00,8.4,,,6,M ,ISM,M1,SALINITY,,11.74,PPT
12/7/2004,10:17:00,8.4,,,7,B ,ISM,M1,SALINITY,,11.74,PPT
1/12/2005,10:22:00,8,,,0.5,S ,ISM,M1,SALINITY,,9.27,PPT
1/12/2005,10:22:00,8,,,1,M ,ISM,M1,SALINITY,,9.27,PPT
1/12/2005,10:22:00,8,,,2,M ,ISM,M1,SALINITY,,9.27,PPT
1/12/2005,10:22:00,8,,,3,AP,ISM,M1,SALINITY,,9.27,PPT
1/12/2005,10:22:00,8,,,4,M ,ISM,M1,SALINITY,,9.27,PPT
1/12/2005,10:22:00,8,,,5,BP,ISM,M1,SALINITY,,9.27,PPT
1/12/2005,10:22:00,8,,,6,M ,ISM,M1,SALINITY,,9.27,PPT
1/12/2005,10:22:00,8,,,7,B ,ISM,M1,SALINITY,,9.27,PPT
2/16/2005,10:34:00,8.5,,,0.5,S ,ISM,M1,SALINITY,,9.91,PPT
2/16/2005,10:34:00,8.5,,,1,M ,ISM,M1,SALINITY,,9.91,PPT
2/16/2005,10:34:00,8.5,,,2,AP,ISM,M1,SALINITY,,9.91,PPT
2/16/2005,10:34:00,8.5,,,3,M ,ISM,M1,SALINITY,,9.91,PPT
2/16/2005,10:34:00,8.5,,,4,M ,ISM,M1,SALINITY,,9.91,PPT
2/16/2005,10:34:00,8.5,,,5,BP,ISM,M1,SALINITY,,9.98,PPT
2/16/2005,10:34:00,8.5,,,6,M ,ISM,M1,SALINITY,,9.98,PPT
2/16/2005,10:34:00,8.5,,,7,B ,ISM,M1,SALINITY,,10.04,PPT
5/11/2005,9:10:00,8.3,,,0.5,S ,ISM,M1,SALINITY,,8.67,PPT
5/11/2005,9:10:00,8.3,,,1,M ,ISM,M1,SALINITY,,8.68,PPT
5/11/2005,9:10:00,8.3,,,2,M ,ISM,M1,SALINITY,,8.68,PPT
5/11/2005,9:10:00,8.3,,,3,AP,ISM,M1,SALINITY,,8.68,PPT
5/11/2005,9:10:00,8.3,,,4,M ,ISM,M1,SALINITY,,8.77,PPT
5/11/2005,9:10:00,8.3,,,5,M ,ISM,M1,SALINITY,,8.98,PPT
5/11/2005,9:10:00,8.3,,,6,BP,ISM,M1,SALINITY,,9.11,PPT
5/11/2005,9:10:00,8.3,,,7,M ,ISM,M1,SALINITY,,9.25,PPT
5/11/2005,9:10:00,8.3,,,7.3,B ,ISM,M1,SALINITY,,9.48,PPT
6/14/2005,12:00:00,8,,,0.5,S ,ISM,M1,SALINITY,,8.67,PPT
6/14/2005,12:00:00,8,,,1,M ,ISM,M1,SALINITY,,8.65,PPT
6/14/2005,12:00:00,8,,,2,M ,ISM,M1,SALINITY,,8.63,PPT
6/14/2005,12:00:00,8,,,3,AP,ISM,M1,SALINITY,,8.76,PPT
6/14/2005,12:00:00,8,,,4,M ,ISM,M1,SALINITY,,9.35,PPT
6/14/2005,12:00:00,8,,,5,BP,ISM,M1,SALINITY,,9.37,PPT
6/14/2005,12:00:00,8,,,6,M ,ISM,M1,SALINITY,,9.33,PPT
6/14/2005,12:00:00,8,,,7,B ,ISM,M1,SALINITY,,9.33,PPT
7/12/2005,11:10:00,7,4.5,4.5,0.5,S ,ISM,M1,SALINITY,,10.82,PPT
7/12/2005,11:10:00,7,4.5,4.5,1,M ,ISM,M1,SALINITY,,10.82,PPT
7/12/2005,11:10:00,7,4.5,4.5,2,M ,ISM,M1,SALINITY,,11.08,PPT
7/12/2005,11:10:00,7,4.5,4.5,3,AP,ISM,M1,SALINITY,,11.28,PPT
7/12/2005,11:10:00,7,4.5,4.5,4,M ,ISM,M1,SALINITY,,11.67,PPT
7/12/2005,11:10:00,7,4.5,4.5,5,M ,ISM,M1,SALINITY,,12.73,PPT
7/12/2005,11:10:00,7,4.5,4.5,6,B ,ISM,M1,SALINITY,,12.79,PPT
7/12/2005,11:10:00,7,4.5,4.5,6,BP,ISM,M1,SALINITY,,12.79,PPT
8/9/2005,10:45:00,7.7,,,0.5,S ,ISM,M1,SALINITY,,12.07,PPT
8/9/2005,10:45:00,7.7,,,1,M ,ISM,M1,SALINITY,,12.07,PPT
8/9/2005,10:45:00,7.7,,,2,AP,ISM,M1,SALINITY,,12.07,PPT
8/9/2005,10:45:00,7.7,,,3,M ,ISM,M1,SALINITY,,12.13,PPT
8/9/2005,10:45:00,7.7,,,4,BP,ISM,M1,SALINITY,,12.13,PPT
8/9/2005,10:45:00,7.7,,,5,M ,ISM,M1,SALINITY,,12.33,PPT
8/9/2005,10:45:00,7.7,,,6,M ,ISM,M1,SALINITY,,12.59,PPT
8/9/2005,10:45:00,7.7,,,6.7,B ,ISM,M1,SALINITY,,12.86,PPT
9/13/2005,11:10:00,8,,,0.5,S ,ISM,M1,SALINITY,,13.66,PPT
9/13/2005,11:10:00,8,,,1,M ,ISM,M1,SALINITY,,13.66,PPT
9/13/2005,11:10:00,8,,,2,AP,ISM,M1,SALINITY,,13.79,PPT
9/13/2005,11:10:00,8,,,3,M ,ISM,M1,SALINITY,,13.79,PPT
9/13/2005,11:10:00,8,,,4,M ,ISM,M1,SALINITY,,14.06,PPT
9/13/2005,11:10:00,8,,,5,BP,ISM,M1,SALINITY,,14.06,PPT
9/13/2005,11:10:00,8,,,6,M ,ISM,M1,SALINITY,,14.06,PPT
9/13/2005,11:10:00,8,,,7,B ,ISM,M1,SALINITY,,13.99,PPT
10/18/2005,9:24:00,17.8,,,0.5,S ,ISM,M1,SALINITY,,14.73,PPT
10/18/2005,9:24:00,17.8,,,1,M ,ISM,M1,SALINITY,,14.73,PPT
10/18/2005,9:24:00,17.8,,,2,AP,ISM,M1,SALINITY,,14.8,PPT
10/18/2005,9:24:00,17.8,,,3,M ,ISM,M1,SALINITY,,14.8,PPT
10/18/2005,9:24:00,17.8,,,4,BP,ISM,M1,SALINITY,,14.8,PPT
10/18/2005,9:24:00,17.8,,,5,M ,ISM,M1,SALINITY,,14.8,PPT
10/18/2005,9:24:00,17.8,,,6,M ,ISM,M1,SALINITY,,14.87,PPT
10/18/2005,9:24:00,17.8,,,6.8,B ,ISM,M1,SALINITY,,14.93,PPT
11/15/2005,10:35:00,8,,,0.5,S ,ISM,M1,SALINITY,,13.79,PPT
11/15/2005,10:35:00,8,,,1,M ,ISM,M1,SALINITY,,13.79,PPT
11/15/2005,10:35:00,8,,,2,M ,ISM,M1,SALINITY,,13.79,PPT
11/15/2005,10:35:00,8,,,3,AP,ISM,M1,SALINITY,,13.79,PPT
11/15/2005,10:35:00,8,,,4,M ,ISM,M1,SALINITY,,13.79,PPT
11/15/2005,10:35:00,8,,,5,BP,ISM,M1,SALINITY,,13.79,PPT
11/15/2005,10:35:00,8,,,6,M ,ISM,M1,SALINITY,,13.79,PPT
11/15/2005,10:35:00,8,,,7,B ,ISM,M1,SALINITY,,13.79,PPT
12/12/2006,10:00:00,8.2,,,3,AP,ISM,M1,SALINITY,,11.08,PPT
12/12/2006,10:00:00,8.2,,,4,M ,ISM,M1,SALINITY,,11.08,PPT
12/12/2006,10:00:00,8.2,,,5,BP,ISM,M1,SALINITY,,11.08,PPT
12/12/2006,10:00:00,8.2,,,6,M ,ISM,M1,SALINITY,,11.08,PPT
12/12/2006,10:00:00,8.2,,,7,B ,ISM,M1,SALINITY,,11.08,PPT
1/11/2007,10:30:00,8,4.5,4.5,0.5,S ,ISM,M1,SALINITY,,10.43,PPT
1/11/2007,10:30:00,8,4.5,4.5,1,M ,ISM,M1,SALINITY,,10.43,PPT
1/11/2007,10:30:00,8,4.5,4.5,2,M ,ISM,M1,SALINITY,,10.43,PPT
1/11/2007,10:30:00,8,4.5,4.5,3,AP,ISM,M1,SALINITY,,10.43,PPT
1/11/2007,10:30:00,8,4.5,4.5,4,M ,ISM,M1,SALINITY,,10.5,PPT
1/11/2007,10:30:00,8,4.5,4.5,5,M ,ISM,M1,SALINITY,,10.89,PPT
1/11/2007,10:30:00,8,4.5,4.5,6,BP,ISM,M1,SALINITY,,11.21,PPT
1/11/2007,10:30:00,8,4.5,4.5,7,B ,ISM,M1,SALINITY,,11.54,PPT
2/27/2007,11:10:00,6.8,,,0.5,S ,ISM,M1,SALINITY,,10.37,PPT
2/27/2007,11:10:00,6.8,,,1,M ,ISM,M1,SALINITY,,10.69,PPT
2/27/2007,11:10:00,6.8,,,2,AP,ISM,M1,SALINITY,,11.02,PPT
2/27/2007,11:10:00,6.8,,,3,M ,ISM,M1,SALINITY,,11.47,PPT
2/27/2007,11:10:00,6.8,,,4,BP,ISM,M1,SALINITY,,11.93,PPT
2/27/2007,11:10:00,6.8,,,5,M ,ISM,M1,SALINITY,,12.13,PPT
2/27/2007,11:10:00,6.8,,,5.8,B ,ISM,M1,SALINITY,,12.26,PPT
3/13/2007,9:20:00,8,,,0.5,S ,ISM,M1,SALINITY,,10.89,PPT
3/13/2007,9:20:00,8,,,1,M ,ISM,M1,SALINITY,,10.95,PPT
3/13/2007,9:20:00,8,,,2,M ,ISM,M1,SALINITY,,11.08,PPT
