SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit
5/14/2013,10:39:00,7.3,,,0.5,S ,ISM,M1,WTEMP,,15.7,DEG C
5/14/2013,10:39:00,7.3,,,1,M ,ISM,M1,WTEMP,,15.7,DEG C
5/14/2013,10:39:00,7.3,,,2,AP,ISM,M1,WTEMP,,15.7,DEG C
5/14/2013,10:39:00,7.3,,,3,M ,ISM,M1,WTEMP,,16,DEG C
5/14/2013,10:39:00,7.3,,,4,BP,ISM,M1,WTEMP,,16.3,DEG C
5/14/2013,10:39:00,7.3,,,5,M ,ISM,M1,WTEMP,,16.6,DEG C
5/14/2013,10:39:00,7.3,,,6,M ,ISM,M1,WTEMP,,16.8,DEG C
5/14/2013,10:39:00,7.3,,,6.3,B ,ISM,M1,WTEMP,,16.7,DEG C
6/3/2013,11:39:00,8,,,0.5,S ,ISM,M1,WTEMP,,23.1,DEG C
6/3/2013,11:39:00,8,,,1,M ,ISM,M1,WTEMP,,23,DEG C
6/3/2013,11:39:00,8,,,2,AP,ISM,M1,WTEMP,,22.9,DEG C
6/3/2013,11:39:00,8,,,3,M ,ISM,M1,WTEMP,,22.9,DEG C
6/3/2013,11:39:00,8,,,4,BP,ISM,M1,WTEMP,,22.8,DEG C
6/3/2013,11:39:00,8,,,5,M ,ISM,M1,WTEMP,,22.8,DEG C
6/3/2013,11:39:00,8,,,6,M ,ISM,M1,WTEMP,,22.7,DEG C
6/3/2013,11:39:00,8,,,7,B ,ISM,M1,WTEMP,,22.7,DEG C
12/7/2004,10:17:00,8.4,,,0.5,S ,ISM,M1,WTEMP,,9.1,DEG C
12/7/2004,10:17:00,8.4,,,1,M ,ISM,M1,WTEMP,,9.1,DEG C
12/7/2004,10:17:00,8.4,,,2,M ,ISM,M1,WTEMP,,9.1,DEG C
12/7/2004,10:17:00,8.4,,,3,AP,ISM,M1,WTEMP,,9.1,DEG C
12/7/2004,10:17:00,8.4,,,4,M ,ISM,M1,WTEMP,,9.1,DEG C
12/7/2004,10:17:00,8.4,,,5,BP,ISM,M1,WTEMP,,9.1,DEG C
12/7/2004,10:17:00,8.4,,,6,M ,ISM,M1,WTEMP,,9.1,DEG C
12/7/2004,10:17:00,8.4,,,7,B ,ISM,M1,WTEMP,,9.1,DEG C
1/12/2005,10:22:00,8,,,0.5,S ,ISM,M1,WTEMP,,4.9,DEG C
1/12/2005,10:22:00,8,,,1,M ,ISM,M1,WTEMP,,4.9,DEG C
1/12/2005,10:22:00,8,,,2,M ,ISM,M1,WTEMP,,4.9,DEG C
1/12/2005,10:22:00,8,,,3,AP,ISM,M1,WTEMP,,4.9,DEG C
1/12/2005,10:22:00,8,,,4,M ,ISM,M1,WTEMP,,4.9,DEG C
1/12/2005,10:22:00,8,,,5,BP,ISM,M1,WTEMP,,4.9,DEG C
1/12/2005,10:22:00,8,,,6,M ,ISM,M1,WTEMP,,4.9,DEG C
1/12/2005,10:22:00,8,,,7,B ,ISM,M1,WTEMP,,4.9,DEG C
2/16/2005,10:34:00,8.5,,,0.5,S ,ISM,M1,WTEMP,,3.5,DEG C
2/16/2005,10:34:00,8.5,,,1,M ,ISM,M1,WTEMP,,3.5,DEG C
2/16/2005,10:34:00,8.5,,,2,AP,ISM,M1,WTEMP,,3.4,DEG C
2/16/2005,10:34:00,8.5,,,3,M ,ISM,M1,WTEMP,,3.4,DEG C
2/16/2005,10:34:00,8.5,,,4,M ,ISM,M1,WTEMP,,3.3,DEG C
2/16/2005,10:34:00,8.5,,,5,BP,ISM,M1,WTEMP,,3.2,DEG C
2/16/2005,10:34:00,8.5,,,6,M ,ISM,M1,WTEMP,,3.1,DEG C
2/16/2005,10:34:00,8.5,,,7,B ,ISM,M1,WTEMP,,3,DEG C
5/11/2005,9:10:00,8.3,,,0.5,S ,ISM,M1,WTEMP,,15.3,DEG C
5/11/2005,9:10:00,8.3,,,1,M ,ISM,M1,WTEMP,,15.3,DEG C
5/11/2005,9:10:00,8.3,,,2,M ,ISM,M1,WTEMP,,15.3,DEG C
5/11/2005,9:10:00,8.3,,,3,AP,ISM,M1,WTEMP,,15.2,DEG C
5/11/2005,9:10:00,8.3,,,4,M ,ISM,M1,WTEMP,,14.9,DEG C
5/11/2005,9:10:00,8.3,,,5,M ,ISM,M1,WTEMP,,14.6,DEG C
5/11/2005,9:10:00,8.3,,,6,BP,ISM,M1,WTEMP,,14.8,DEG C
5/11/2005,9:10:00,8.3,,,7,M ,ISM,M1,WTEMP,,14.7,DEG C
5/11/2005,9:10:00,8.3,,,7.3,B ,ISM,M1,WTEMP,,14.2,DEG C
6/14/2005,12:00:00,8,,,0.5,S ,ISM,M1,WTEMP,,26.8,DEG C
6/14/2005,12:00:00,8,,,1,M ,ISM,M1,WTEMP,,26.4,DEG C
6/14/2005,12:00:00,8,,,2,M ,ISM,M1,WTEMP,,26.2,DEG C
6/14/2005,12:00:00,8,,,3,AP,ISM,M1,WTEMP,,25.9,DEG C
6/14/2005,12:00:00,8,,,4,M ,ISM,M1,WTEMP,,26,DEG C
6/14/2005,12:00:00,8,,,5,BP,ISM,M1,WTEMP,,25.8,DEG C
6/14/2005,12:00:00,8,,,6,M ,ISM,M1,WTEMP,,25.2,DEG C
6/14/2005,12:00:00,8,,,7,B ,ISM,M1,WTEMP,,24.6,DEG C
7/12/2005,11:10:00,7,4.5,4.5,0.5,S ,ISM,M1,WTEMP,,27.8,DEG C
7/12/2005,11:10:00,7,4.5,4.5,1,M ,ISM,M1,WTEMP,,27.8,DEG C
7/12/2005,11:10:00,7,4.5,4.5,2,M ,ISM,M1,WTEMP,,27.2,DEG C
7/12/2005,11:10:00,7,4.5,4.5,3,AP,ISM,M1,WTEMP,,27.2,DEG C
7/12/2005,11:10:00,7,4.5,4.5,4,M ,ISM,M1,WTEMP,,26.7,DEG C
7/12/2005,11:10:00,7,4.5,4.5,5,M ,ISM,M1,WTEMP,,24.9,DEG C
7/12/2005,11:10:00,7,4.5,4.5,6,B ,ISM,M1,WTEMP,,24.8,DEG C
7/12/2005,11:10:00,7,4.5,4.5,6,BP,ISM,M1,WTEMP,,24.8,DEG C
8/9/2005,10:45:00,7.7,,,0.5,S ,ISM,M1,WTEMP,,28.5,DEG C
8/9/2005,10:45:00,7.7,,,1,M ,ISM,M1,WTEMP,,28.5,DEG C
8/9/2005,10:45:00,7.7,,,2,AP,ISM,M1,WTEMP,,28.5,DEG C
8/9/2005,10:45:00,7.7,,,3,M ,ISM,M1,WTEMP,,28.6,DEG C
8/9/2005,10:45:00,7.7,,,4,BP,ISM,M1,WTEMP,,28.6,DEG C
8/9/2005,10:45:00,7.7,,,5,M ,ISM,M1,WTEMP,,28.6,DEG C
8/9/2005,10:45:00,7.7,,,6,M ,ISM,M1,WTEMP,,28.5,DEG C
8/9/2005,10:45:00,7.7,,,6.7,B ,ISM,M1,WTEMP,,28.5,DEG C
9/13/2005,11:10:00,8,,,0.5,S ,ISM,M1,WTEMP,,25.8,DEG C
9/13/2005,11:10:00,8,,,1,M ,ISM,M1,WTEMP,,25.3,DEG C
9/13/2005,11:10:00,8,,,2,AP,ISM,M1,WTEMP,,25.2,DEG C
9/13/2005,11:10:00,8,,,3,M ,ISM,M1,WTEMP,,25.2,DEG C
9/13/2005,11:10:00,8,,,4,M ,ISM,M1,WTEMP,,25.2,DEG C
9/13/2005,11:10:00,8,,,5,BP,ISM,M1,WTEMP,,25.2,DEG C
9/13/2005,11:10:00,8,,,6,M ,ISM,M1,WTEMP,,25.2,DEG C
9/13/2005,11:10:00,8,,,7,B ,ISM,M1,WTEMP,,25.1,DEG C
10/18/2005,9:24:00,17.8,,,0.5,S ,ISM,M1,WTEMP,,17.7,DEG C
10/18/2005,9:24:00,17.8,,,1,M ,ISM,M1,WTEMP,,17.7,DEG C
10/18/2005,9:24:00,17.8,,,2,AP,ISM,M1,WTEMP,,17.7,DEG C
10/18/2005,9:24:00,17.8,,,3,M ,ISM,M1,WTEMP,,17.7,DEG C
